Date,Category,Amount,Balance
2020-06-14,Personal/Entertainment,-99.01,21427.059999999994
2020-06-16,Personal/Entertainment,-227.65,21199.409999999996
2020-06-16,Transportation,-77.83,21121.579999999994
2020-06-16,Transportation,-33.78,21087.799999999996
2020-06-19,Personal/Entertainment,-174.36,20913.439999999995
2020-06-20,Healthcare,-285.88,20627.559999999994
2020-06-20,Personal/Entertainment,-222.01,20405.549999999996
2020-06-21,Personal/Entertainment,-29.56,20375.989999999994
2020-06-21,Transportation,-25.02,20350.969999999994
2020-06-21,Housing,-1183.92,19167.049999999996
2020-06-23,Personal/Entertainment,-173.86,18993.189999999995
2020-06-25,Personal/Entertainment,-158.81,18834.379999999994
2020-06-26,Personal/Entertainment,-221.09,18613.289999999994
2020-06-26,Groceries,-135.37,18477.91999999999
2020-06-27,Personal/Entertainment,-31.01,18446.909999999993
2020-06-28,Personal/Entertainment,-59.29,18387.61999999999
2020-06-28,Groceries,-118.76,18268.859999999993
2020-06-30,Transportation,-39.36,18229.499999999993
2020-07-01,Income,7861.13,26090.62999999999
2020-07-03,Groceries,-102.1,25988.52999999999
2020-07-03,Transportation,-52.95,25935.57999999999
2020-07-08,Housing,-1898.54,24037.03999999999
2020-07-08,Transportation,-74.07,23962.96999999999
2020-07-08,Personal/Entertainment,-222.73,23740.23999999999
2020-07-09,Transportation,-79.97,23660.26999999999
2020-07-09,Housing,-1547.46,22112.80999999999
2020-07-14,Groceries,-90.1,22022.709999999992
2020-07-14,Housing,-1892.72,20129.98999999999
2020-07-16,Groceries,-127.68,20002.30999999999
2020-07-16,Utilities,-118.78,19883.52999999999
2020-07-17,Personal/Entertainment,-61.26,19822.26999999999
2020-07-18,Utilities,-156.83,19665.43999999999
2020-07-20,Transportation,-47.54,19617.89999999999
2020-07-20,Transportation,-23.81,19594.08999999999
2020-07-20,Healthcare,-162.82,19431.26999999999
2020-07-21,Transportation,-41.46,19389.80999999999
2020-07-22,Utilities,-153.06,19236.749999999993
2020-07-22,Healthcare,-195.38,19041.369999999995
2020-07-23,Groceries,-130.69,18910.679999999993
2020-07-23,Groceries,-79.19,18831.48999999999
2020-07-24,Groceries,-54.74,18776.749999999993
2020-07-24,Utilities,-223.52,18553.229999999992
2020-07-24,Utilities,-169.98,18383.249999999993
2020-07-25,Groceries,-53.93,18329.319999999992
2020-07-26,Insurance,-223.46,18105.859999999993
2020-07-28,Personal/Entertainment,-256.02,17849.839999999993
2020-07-28,Housing,-1134.0,16715.839999999993
2020-07-28,Personal/Entertainment,-194.39,16521.449999999993
2020-07-30,Personal/Entertainment,-215.03,16306.419999999993
2020-07-30,Utilities,-155.99,16150.429999999993
2020-07-31,Utilities,-137.28,16013.149999999992
2020-08-01,Income,7849.36,23862.50999999999
2020-08-02,Utilities,-257.12,23605.389999999992
2020-08-02,Transportation,-66.38,23539.00999999999
2020-08-02,Personal/Entertainment,-71.12,23467.889999999992
2020-08-05,Groceries,-47.58,23420.30999999999
2020-08-07,Groceries,-72.98,23347.32999999999
2020-08-07,Transportation,-72.46,23274.86999999999
2020-08-08,Groceries,-130.75,23144.11999999999
2020-08-09,Groceries,-121.3,23022.819999999992
2020-08-09,Insurance,-154.69,22868.129999999994
2020-08-10,Personal/Entertainment,-82.28,22785.849999999995
2020-08-11,Personal/Entertainment,-140.15,22645.699999999993
2020-08-12,Transportation,-30.6,22615.099999999995
2020-08-12,Personal/Entertainment,-230.76,22384.339999999997
2020-08-12,Insurance,-231.06,22153.279999999995
2020-08-13,Transportation,-48.7,22104.579999999994
2020-08-17,Personal/Entertainment,-107.62,21996.959999999995
2020-08-23,Personal/Entertainment,-288.95,21708.009999999995
2020-08-24,Transportation,-76.85,21631.159999999996
2020-08-26,Transportation,-26.55,21604.609999999997
2020-08-28,Transportation,-59.62,21544.989999999998
2020-08-28,Personal/Entertainment,-207.54,21337.449999999997
2020-08-31,Personal/Entertainment,-145.8,21191.649999999998
2020-08-31,Insurance,-196.81,20994.839999999997
2020-08-31,Personal/Entertainment,-172.73,20822.11
2020-09-01,Income,9231.16,30053.269999999997
2020-09-02,Personal/Entertainment,-68.6,29984.67
2020-09-02,Personal/Entertainment,-165.07,29819.6
2020-09-02,Groceries,-55.01,29764.59
2020-09-05,Personal/Entertainment,-237.89,29526.7
2020-09-06,Transportation,-61.72,29464.98
2020-09-06,Healthcare,-394.3,29070.68
2020-09-09,Personal/Entertainment,-148.23,28922.45
2020-09-09,Insurance,-275.05,28647.4
2020-09-11,Groceries,-92.8,28554.600000000002
2020-09-12,Utilities,-228.1,28326.500000000004
2020-09-14,Transportation,-22.36,28304.140000000003
2020-09-15,Personal/Entertainment,-242.1,28062.040000000005
2020-09-16,Transportation,-67.33,27994.710000000003
2020-09-18,Groceries,-84.92,27909.790000000005
2020-09-19,Housing,-1616.18,26293.610000000004
2020-09-19,Groceries,-90.11,26203.500000000004
2020-09-19,Personal/Entertainment,-297.52,25905.980000000003
2020-09-21,Personal/Entertainment,-240.36,25665.620000000003
2020-09-21,Healthcare,-385.45,25280.170000000002
2020-09-22,Transportation,-40.13,25240.04
2020-09-22,Insurance,-282.63,24957.41
2020-09-26,Utilities,-217.19,24740.22
2020-09-27,Housing,-1943.39,22796.83
2020-09-27,Personal/Entertainment,-274.82,22522.010000000002
2020-09-27,Groceries,-90.95,22431.06
2020-09-29,Groceries,-121.87,22309.190000000002
2020-09-30,Housing,-1878.62,20430.570000000003
2020-10-01,Transportation,-26.16,20404.410000000003
2020-10-01,Groceries,-92.54,20311.870000000003
2020-10-01,Income,7221.83,27533.700000000004
2020-10-02,Groceries,-98.13,27435.570000000003
2020-10-02,Personal/Entertainment,-139.11,27296.460000000003
2020-10-03,Healthcare,-129.33,27167.13
2020-10-03,Transportation,-57.59,27109.54
2020-10-03,Groceries,-144.88,26964.66
2020-10-04,Personal/Entertainment,-253.38,26711.28
2020-10-04,Groceries,-149.72,26561.559999999998
2020-10-04,Groceries,-131.67,26429.89
2020-10-05,Groceries,-66.64,26363.25
2020-10-05,Housing,-1747.53,24615.72
2020-10-05,Personal/Entertainment,-38.85,24576.870000000003
2020-10-06,Personal/Entertainment,-112.15,24464.72
2020-10-06,Transportation,-53.42,24411.300000000003
2020-10-06,Transportation,-43.56,24367.74
2020-10-07,Personal/Entertainment,-199.89,24167.850000000002
2020-10-07,Housing,-1431.83,22736.020000000004
2020-10-07,Transportation,-22.32,22713.700000000004
2020-10-08,Groceries,-96.41,22617.290000000005
2020-10-09,Personal/Entertainment,-287.04,22330.250000000004
2020-10-11,Personal/Entertainment,-281.83,22048.420000000002
2020-10-12,Transportation,-49.18,21999.24
2020-10-15,Utilities,-285.08,21714.16
2020-10-16,Personal/Entertainment,-296.93,21417.23
2020-10-16,Personal/Entertainment,-224.56,21192.67
2020-10-17,Groceries,-95.18,21097.489999999998
2020-10-17,Groceries,-94.37,21003.12
2020-10-17,Personal/Entertainment,-298.22,20704.9
2020-10-19,Groceries,-142.2,20562.699999999997
2020-10-19,Groceries,-130.99,20431.71
2020-10-21,Groceries,-63.13,20368.58
2020-10-23,Utilities,-239.33,20129.25
2020-10-24,Transportation,-51.26,20077.989999999998
2020-10-28,Personal/Entertainment,-214.58,19863.41
2020-10-28,Personal/Entertainment,-183.31,19680.1
2020-10-30,Groceries,-43.14,19636.96
2020-10-30,Groceries,-58.19,19578.77
2020-11-01,Income,8279.93,27858.7
2020-11-03,Personal/Entertainment,-96.99,27761.71
2020-11-04,Personal/Entertainment,-103.59,27658.12
2020-11-04,Groceries,-98.92,27559.2
2020-11-04,Housing,-1916.72,25642.48
2020-11-06,Personal/Entertainment,-212.02,25430.46
2020-11-07,Personal/Entertainment,-256.23,25174.23
2020-11-08,Transportation,-48.39,25125.84
2020-11-09,Personal/Entertainment,-144.7,24981.14
2020-11-14,Personal/Entertainment,-145.75,24835.39
2020-11-16,Groceries,-67.02,24768.37
2020-11-16,Utilities,-137.91,24630.46
2020-11-16,Healthcare,-241.59,24388.87
2020-11-17,Utilities,-243.64,24145.23
2020-11-17,Healthcare,-163.39,23981.84
2020-11-19,Personal/Entertainment,-166.96,23814.88
2020-11-19,Personal/Entertainment,-221.56,23593.32
2020-11-19,Groceries,-127.15,23466.17
2020-11-23,Personal/Entertainment,-66.25,23399.92
2020-11-27,Personal/Entertainment,-265.4,23134.519999999997
2020-11-29,Personal/Entertainment,-113.46,23021.059999999998
2020-12-01,Income,7998.85,31019.909999999996
2020-12-03,Personal/Entertainment,-105.37,30914.539999999997
2020-12-04,Insurance,-227.78,30686.76
2020-12-08,Personal/Entertainment,-71.18,30615.579999999998
2020-12-12,Personal/Entertainment,-283.43,30332.149999999998
2020-12-12,Groceries,-131.92,30200.23
2020-12-12,Transportation,-61.67,30138.56
2020-12-12,Personal/Entertainment,-288.59,29849.97
2020-12-13,Utilities,-270.73,29579.24
2020-12-14,Personal/Entertainment,-196.02,29383.22
2020-12-15,Personal/Entertainment,-129.73,29253.49
2020-12-16,Personal/Entertainment,-67.83,29185.66
2020-12-16,Groceries,-79.91,29105.75
2020-12-17,Housing,-1536.36,27569.39
2020-12-18,Groceries,-77.19,27492.2
2020-12-19,Transportation,-64.65,27427.55
2020-12-19,Personal/Entertainment,-184.92,27242.63
2020-12-21,Transportation,-79.46,27163.170000000002
2020-12-22,Housing,-1006.2,26156.97
2020-12-23,Personal/Entertainment,-114.84,26042.13
2020-12-23,Personal/Entertainment,-205.09,25837.04
2020-12-23,Groceries,-57.53,25779.510000000002
2020-12-30,Transportation,-65.77,25713.74
2020-12-30,Transportation,-54.57,25659.170000000002
2020-12-30,Personal/Entertainment,-245.63,25413.54
2021-01-01,Transportation,-28.28,25385.260000000002
2021-01-01,Income,8330.05,33715.31
2021-01-02,Groceries,-71.79,33643.520000000004
2021-01-02,Transportation,-76.76,33566.76
2021-01-02,Transportation,-61.84,33504.92
2021-01-03,Groceries,-142.92,33362.0
2021-01-03,Groceries,-60.6,33301.40000000001
2021-01-05,Personal/Entertainment,-67.54,33233.86
2021-01-06,Groceries,-45.51,33188.350000000006
2021-01-06,Healthcare,-272.69,32915.66
2021-01-07,Housing,-1678.66,31237.000000000007
2021-01-12,Utilities,-202.69,31034.31000000001
2021-01-13,Transportation,-28.58,31005.730000000007
2021-01-14,Utilities,-145.74,30859.990000000005
2021-01-15,Healthcare,-50.17,30809.820000000007
2021-01-16,Transportation,-60.18,30749.640000000007
2021-01-16,Personal/Entertainment,-68.08,30681.560000000005
2021-01-17,Personal/Entertainment,-98.33,30583.230000000003
2021-01-22,Utilities,-108.2,30475.030000000002
2021-01-23,Personal/Entertainment,-153.27,30321.760000000002
2021-01-24,Housing,-1373.17,28948.590000000004
2021-01-25,Groceries,-43.74,28904.850000000002
2021-01-27,Personal/Entertainment,-286.21,28618.640000000003
2021-01-28,Groceries,-139.85,28478.790000000005
2021-01-28,Housing,-1908.73,26570.060000000005
2021-02-01,Income,8740.04,35310.100000000006
2021-02-02,Transportation,-28.69,35281.41
2021-02-03,Personal/Entertainment,-20.52,35260.89000000001
2021-02-03,Personal/Entertainment,-30.02,35230.87000000001
2021-02-04,Insurance,-220.95,35009.920000000006
2021-02-05,Transportation,-32.23,34977.69
2021-02-09,Insurance,-161.32,34816.37000000001
2021-02-12,Groceries,-113.17,34703.20000000001
2021-02-13,Personal/Entertainment,-22.57,34680.630000000005
2021-02-14,Groceries,-135.5,34545.130000000005
2021-02-16,Housing,-1231.86,33313.270000000004
2021-02-16,Healthcare,-207.84,33105.43000000001
2021-02-17,Personal/Entertainment,-196.58,32908.850000000006
2021-02-22,Groceries,-145.42,32763.430000000008
2021-02-22,Personal/Entertainment,-246.88,32516.550000000007
2021-02-25,Utilities,-291.36,32225.190000000006
2021-02-27,Personal/Entertainment,-291.97,31933.220000000005
2021-02-27,Utilities,-289.23,31643.990000000005
2021-03-01,Income,7486.63,39130.62
2021-03-01,Insurance,-295.65,38834.97
2021-03-02,Groceries,-56.89,38778.08
2021-03-02,Personal/Entertainment,-129.13,38648.950000000004
2021-03-04,Housing,-1223.67,37425.280000000006
2021-03-07,Personal/Entertainment,-74.27,37351.01000000001
2021-03-08,Groceries,-59.58,37291.43000000001
2021-03-10,Transportation,-78.5,37212.93000000001
2021-03-10,Personal/Entertainment,-258.56,36954.37
2021-03-11,Housing,-1786.15,35168.22
2021-03-11,Insurance,-172.7,34995.520000000004
2021-03-12,Healthcare,-338.12,34657.4
2021-03-12,Housing,-1875.99,32781.41
2021-03-14,Transportation,-56.78,32724.63
2021-03-14,Utilities,-147.29,32577.34
2021-03-15,Personal/Entertainment,-163.87,32413.47
2021-03-17,Groceries,-148.57,32264.9
2021-03-19,Groceries,-47.35,32217.550000000003
2021-03-21,Transportation,-72.15,32145.4
2021-03-21,Transportation,-47.43,32097.97
2021-03-23,Groceries,-132.45,31965.52
2021-03-24,Transportation,-38.33,31927.19
2021-03-27,Personal/Entertainment,-203.66,31723.53
2021-03-29,Transportation,-63.95,31659.579999999998
2021-03-29,Personal/Entertainment,-242.89,31416.69
2021-03-29,Personal/Entertainment,-78.72,31337.969999999998
2021-04-01,Transportation,-21.87,31316.1
2021-04-01,Income,9329.74,40645.84
2021-04-02,Groceries,-131.81,40514.03
2021-04-04,Housing,-1467.77,39046.26
2021-04-06,Transportation,-45.62,39000.64
2021-04-07,Utilities,-145.06,38855.58
2021-04-07,Housing,-1020.27,37835.310000000005
2021-04-07,Personal/Entertainment,-243.09,37592.22
2021-04-08,Groceries,-46.79,37545.43000000001
2021-04-08,Groceries,-51.83,37493.600000000006
2021-04-08,Personal/Entertainment,-24.05,37469.55
2021-04-09,Personal/Entertainment,-251.03,37218.520000000004
2021-04-09,Insurance,-186.89,37031.630000000005
2021-04-11,Housing,-1255.36,35776.270000000004
2021-04-12,Utilities,-203.36,35572.91
2021-04-13,Groceries,-57.16,35515.75
2021-04-15,Housing,-1536.15,33979.600000000006
2021-04-15,Personal/Entertainment,-69.25,33910.350000000006
2021-04-15,Groceries,-41.19,33869.16
2021-04-16,Personal/Entertainment,-83.97,33785.19
2021-04-16,Groceries,-44.13,33741.06
2021-04-16,Groceries,-53.25,33687.81
2021-04-17,Transportation,-41.38,33646.43
2021-04-17,Personal/Entertainment,-140.47,33505.96
2021-04-19,Insurance,-257.99,33247.97
2021-04-21,Transportation,-22.7,33225.27
2021-04-21,Utilities,-168.59,33056.67999999999
2021-04-23,Transportation,-55.0,33001.67999999999
2021-04-29,Groceries,-100.67,32901.009999999995
2021-04-29,Groceries,-139.03,32761.98
2021-04-30,Personal/Entertainment,-129.25,32632.73
2021-05-01,Income,8760.69,41393.42
2021-05-01,Personal/Entertainment,-24.3,41369.119999999995
2021-05-01,Utilities,-206.9,41162.219999999994
2021-05-04,Groceries,-45.35,41116.869999999995
2021-05-05,Groceries,-84.63,41032.24
2021-05-08,Utilities,-298.99,40733.25
2021-05-09,Personal/Entertainment,-54.62,40678.63
2021-05-10,Personal/Entertainment,-271.42,40407.21
2021-05-11,Groceries,-118.47,40288.74
2021-05-12,Groceries,-40.53,40248.21
2021-05-13,Personal/Entertainment,-92.84,40155.37
2021-05-13,Utilities,-289.96,39865.41
2021-05-16,Groceries,-42.22,39823.19
2021-05-17,Housing,-1599.38,38223.810000000005
2021-05-19,Transportation,-23.45,38200.36000000001
2021-05-22,Insurance,-181.53,38018.83000000001
2021-05-22,Utilities,-195.75,37823.08000000001
2021-05-22,Personal/Entertainment,-157.5,37665.58000000001
2021-05-23,Personal/Entertainment,-295.53,37370.05000000001
2021-05-23,Healthcare,-253.2,37116.850000000006
2021-05-24,Housing,-1316.18,35800.67000000001
2021-05-24,Personal/Entertainment,-284.92,35515.750000000015
2021-05-24,Healthcare,-212.37,35303.38000000001
2021-05-27,Insurance,-268.39,35034.99000000001
2021-05-27,Groceries,-46.3,34988.69000000002
2021-05-29,Utilities,-160.4,34828.29000000001
2021-05-29,Housing,-1377.87,33450.42000000001
2021-06-01,Income,9126.39,42576.81000000001
2021-06-02,Personal/Entertainment,-257.28,42319.53000000001
2021-06-03,Personal/Entertainment,-289.6,42029.930000000015
2021-06-03,Utilities,-250.03,41779.900000000016
2021-06-07,Transportation,-46.03,41733.87000000002
2021-06-09,Utilities,-243.77,41490.10000000002
2021-06-12,Personal/Entertainment,-119.43,41370.67000000002
2021-06-12,Personal/Entertainment,-257.19,41113.48000000002
2021-06-12,Transportation,-21.23,41092.250000000015
2021-06-15,Personal/Entertainment,-272.04,40820.210000000014
2021-06-15,Housing,-1763.27,39056.94000000002
2021-06-15,Groceries,-142.36,38914.580000000016
2021-06-17,Groceries,-94.1,38820.48000000002
2021-06-19,Transportation,-44.23,38776.250000000015
2021-06-19,Personal/Entertainment,-237.28,38538.970000000016
2021-06-19,Transportation,-49.22,38489.750000000015
2021-06-20,Personal/Entertainment,-216.34,38273.41000000002
2021-06-20,Groceries,-67.31,38206.10000000002
2021-06-21,Groceries,-50.35,38155.75000000002
2021-06-21,Personal/Entertainment,-242.65,37913.10000000002
2021-06-22,Personal/Entertainment,-37.73,37875.37000000002
2021-06-23,Transportation,-76.09,37799.28000000002
2021-06-24,Healthcare,-147.49,37651.79000000002
2021-06-26,Transportation,-54.38,37597.41000000002
2021-06-26,Groceries,-148.31,37449.10000000002
2021-06-26,Personal/Entertainment,-179.7,37269.400000000016
2021-06-27,Utilities,-217.0,37052.400000000016
2021-06-28,Personal/Entertainment,-189.13,36863.27000000002
2021-06-28,Personal/Entertainment,-202.26,36661.01000000002
2021-06-29,Groceries,-100.24,36560.77000000002
2021-06-29,Personal/Entertainment,-229.59,36331.180000000015
2021-06-29,Groceries,-49.55,36281.63000000002
2021-07-01,Income,8854.85,45136.48000000002
2021-07-02,Groceries,-91.65,45044.830000000016
2021-07-02,Personal/Entertainment,-238.84,44805.99000000002
2021-07-07,Healthcare,-180.27,44625.72000000002
2021-07-10,Groceries,-135.18,44490.54000000002
2021-07-10,Personal/Entertainment,-54.19,44436.35000000002
2021-07-10,Groceries,-112.01,44324.34000000002
2021-07-11,Groceries,-102.2,44222.14000000002
2021-07-11,Utilities,-184.97,44037.17000000002
2021-07-11,Personal/Entertainment,-185.07,43852.10000000002
2021-07-13,Groceries,-44.96,43807.14000000002
2021-07-14,Personal/Entertainment,-256.3,43550.84000000002
2021-07-14,Personal/Entertainment,-94.15,43456.69000000002
2021-07-17,Personal/Entertainment,-58.29,43398.400000000016
2021-07-18,Personal/Entertainment,-70.91,43327.49000000001
2021-07-18,Groceries,-59.05,43268.44000000001
2021-07-19,Personal/Entertainment,-223.28,43045.16000000001
2021-07-19,Personal/Entertainment,-155.81,42889.35000000001
2021-07-20,Personal/Entertainment,-253.82,42635.53000000001
2021-07-22,Insurance,-221.94,42413.59000000001
2021-07-29,Transportation,-20.39,42393.20000000001
2021-07-29,Groceries,-135.15,42258.05000000001
2021-08-01,Income,8456.64,50714.69000000001
2021-08-06,Personal/Entertainment,-52.8,50661.89000000001
2021-08-06,Groceries,-137.62,50524.270000000004
2021-08-11,Groceries,-46.22,50478.05
2021-08-11,Utilities,-256.31,50221.740000000005
2021-08-12,Personal/Entertainment,-70.97,50150.770000000004
2021-08-12,Utilities,-177.41,49973.36
2021-08-12,Personal/Entertainment,-162.83,49810.53
2021-08-13,Personal/Entertainment,-271.95,49538.58
2021-08-13,Personal/Entertainment,-179.32,49359.26
2021-08-17,Utilities,-110.52,49248.740000000005
2021-08-17,Housing,-1311.34,47937.40000000001
2021-08-19,Utilities,-172.11,47765.29000000001
2021-08-19,Personal/Entertainment,-236.48,47528.810000000005
2021-08-23,Utilities,-292.26,47236.55
2021-08-24,Personal/Entertainment,-50.88,47185.670000000006
2021-08-24,Housing,-1756.36,45429.310000000005
2021-08-25,Groceries,-116.61,45312.700000000004
2021-08-25,Groceries,-103.31,45209.39000000001
2021-08-29,Housing,-1344.92,43864.47000000001
